1Cor.0.0	¶ The fyrst Epistle of Saynct Paul the Apostle tot the Corynthians.
1Cor.10.4	and dyd all dryncke of one maner of spirituall dryncke. And they drancke of that spirituall rocke that folowed them, whych rocke was Chryst.
1Cor.10.5	But in many of them had God no delyte: For they were ouerthrowen in the wyldernes.
1Cor.10.6	These weare ensamples to vs that we shuld not lust after euyll thynges, as they lusted.
1Cor.10.7	And that ye shuld not be worshyppers of ymages, as were some of them, accordynge as it is wrytten: The people sate downe to eate Ꟶ drincke, Ꟶ rose vp to playe.
1Cor.10.8	Nether let vs be defyled wt fornicacyon, as some of them were defyled wyth fornicacyon, Ꟶ fell in one daye .xxiij. thousand.
1Cor.10.9	Nether let vs tempte Christ, as some of them tempted, Ꟶ were destroyed of serpentes.
1Cor.10.10	Nether murmure ye, as some of them murmured, Ꟶ were destroyed of the destroyer.
1Cor.10.11	All these thynges happened vnto them for ensamples, but are wrytten to put vs in remembraunce, whom the endes of the worlde are come vpon.
1Cor.10.12	Wherfore, let him that thynketh he stondeth, take hede, lest he fall.
1Cor.10.13	Ther hath none other temptacyon taken you, but soche as foloweth the nature of man. But God is faythfull whych shall not suffer you to be tempted aboue youre strength: but shall in the myddes of the temptacyon make awaye, that ye maye be able to beare it.
1Cor.10.14	Wherfore my deare beloued, fly from worshyppynge of ymages.
1Cor.10.15	I speake as vnto them whych haue discrecyon, iudge ye what I saye.
1Cor.10.16	Is not the cupp of blessynge which we blesse, partakynge of the bloude of Christ?
1Cor.10.17	is not the breed whych we breake, partetakynge of the body of Chryst? because that we (though we be many) yet are one breed Ꟶ one bodye, in as moche as we all are partakers of one bred.
1Cor.10.18	Behold Israel after the flessh. Are not they which eate of the sacrifyce, partakers of the temple?
1Cor.10.19	What saye I then? that the ymage is eny thynge? or that it whych is offered to ymages, is eny thynge?
1Cor.10.20	Nay, but thys I saye: that the thynges whych the gentyls offer, they offer to deuyls, and not to God. I wolde not that ye shulde haue felloshyppe wyth the deuyls.
1Cor.10.21	Ye can not dryncke of the cup of the Lorde, and of the cup of deuyls. Ye cannot be the partakers of the Lordes table, and of the table of deuelles.
1Cor.10.22	Ether do we prouoke the Lord? Are we stronger then he? I maye do all thynges, but all thynges are not expedient.
1Cor.10.23	I maye do all thynges, but all thynges edifye not.
1Cor.10.24	Let no man seke that whych is hys awne: but let euery man seke that whych belongeth to another:
1Cor.10.25	Whatsoeuer is solde in the flesshe market, that eate, and aske no questyon for conscyence sake.
1Cor.10.26	For the erth is the Lordes, and all that therin is.
1Cor.10.27	If eny of them whych beleue not, byd you to a feast, and ye be disposed to go, whatsoeuer is sett before you, eate, askynge no questyon for conscience sake.
1Cor.10.28	But and yf eny man saye vnto you: thys is offred vnto ymages, eate not of it for hys sake that shewed it, and for conscience sake. The erth is the Lordes and all that therin is.
1Cor.10.29	Conscience I saye, not thyne, but of the other. For why is my liberte, iudged of another mannes conscience?
1Cor.10.30	For yf I take my parte with thankes, why am I euyll spoken of, for that thynge wherfore I geue thankes?
1Cor.10.31	Whether therfore ye eate or dryncke, or whatsoeuer ye do, do all to the prayse of God.
1Cor.10.32	Se that ye geue none occasyon of euyll, nether to the Iewes, nor yet to the gentyls, nether to the congregacyon of God:
1Cor.10.33	euen as I please all men in all thynges, not sekynge myne awne profet, but the profet of many, that they myght be saued.
1Cor.11.1	Be ye the folowers of me, as I am the folower of Christ.
1Cor.11.2	I commende you brethren, that ye remember me in all thynges, and kepe the ordinaunces, euen as I delyuered them to you.
1Cor.11.3	But I wolde haue you to knowe, that Christ is the heed of euery man. And the man is the womans heed. And God is Christes heed.
1Cor.11.4	Euery man prayinge or prophesyinge hauing eny thynge on his heed, shameth his heed.
1Cor.11.5	Euery woman that prayeth or prophesyeth bare headed, dishonesteth hyr head. For that is euen all one, as yf she were shauen.
1Cor.11.6	If the woman be not couered, let her also be shoren. If it be shame for a woman to be shorne or shauen, let her couer her heed.
1Cor.11.7	A man ought not to couer his heed, for as moch as he is the ymage and glory of God. But the woman is the glory of the man.
1Cor.11.8	For the man is not of the woman: but the woman of the man.
1Cor.11.9	Nether was the man created for the womans sake: but the woman for the mannes sake.
1Cor.11.10	For this cause ought the woman to haue power on her heed, for the angels sakes:
1Cor.11.11	Neuerthelesse, nether is the man with out the woman. nether the woman without the man in the Lorde.
1Cor.11.12	For as the woman is of the man, euen so is the man: by the woman: but all of God.
1Cor.11.13	Iudge in youre selues, whether it be comly that a woman praye vnto God bare heeded.
1Cor.11.14	Doth not nature it selfe teach you, that it is a shame for a man,
1Cor.11.15	yf he haue longe heere: and a prayse to a woman: yf she haue longe heer. For hyr heer is geuen her to couer her withall.
1Cor.11.16	If any man luste to stryue, we haue no soch custome, nether the congregacyons of God.
1Cor.11.17	This I warne you of, and commende not, that ye come not together after a better maner, but after a worsse.
1Cor.11.18	For fyrst of all when ye come together in the congregacion, I heare that there is dyssencyon amonge you: and I partely beleue it.
1Cor.11.19	For ther must be sectes amonge you, that they which are perfect amonge you, myght be knowen
1Cor.11.20	When ye come to gether therfore into one place, the Lordes supper can not be eaten. For euery man begynneth afore to eate his awne supper.
1Cor.11.21	And one is hongry, and another is droncken. Haue ye not houses to eate and to drincke in?
1Cor.11.22	Despyse ye the congregacion of God, and shame them that haue not? What shall I saye vnto you? shal I prayse you? In this prayse I you not.
1Cor.11.23	That which I delyuered vnto you, I receaued of the Lorde. For the Lorde Iesus the same nyght, in which he was betrayed, toke breed:
1Cor.11.24	and whan he had geuen thankes, he brake it and sayde: Take ye, and eate: this is my body, whych is broken for you. This do ye in the remembraunce of me.
1Cor.11.25	After the same maner also he toke the cup, when supper was done, sayinge: This cuppe is the new testament in my bloude. Thys do as oft as ye dryncke it, in remembraunce of me.
1Cor.11.26	For as often as ye shall eate this breed, and drincke this cup: ye shall shewe the Lordes deeth tyll he come.
1Cor.11.27	Wherfore, whosoeuer, shall eate of this bread, or dryncke of the cup of the Lorde vnworthely, shalbe gyltye of the body and bloud of the Lorde.
1Cor.11.28	But let a man examen him selfe, and so let him eate of the breed, and drincke of the cup.
1Cor.11.29	For he that eateth or dryncketh vnworthely, eateth and dryncketh his awne damnacyon, because he maketh no difference of the Lordes body.
1Cor.11.30	For this cause many are weake and sycke amonge you, and many slepe.
1Cor.11.31	For If we had iudged oure selues, we shuld not haue bene iudged.
1Cor.11.32	But when we are iudged of the Lorde, we are chastened, that we shulde not be damned with the worlde.
1Cor.11.33	Wherfore my brethren when ye come together to eate, tary one for another.
1Cor.11.34	If any man honger, let him eate at home, that ye come not together vnto condemnacyon. Other thynges will I set in order, when I come.
1Cor.12.1	Concernynge spirituall thinges (brethren) I wolde not haue you ignoraunt.
1Cor.12.2	Ye knowe that ye were gentyls, Ꟶ went youre wayes vnto domme ymages, euen as ye were led.
1Cor.12.3	Wherfore I declare vnto you, that no man speakyng by the sprete of God, defyeth Iesus. Also no man can saye that Iesus is the Lorde, but by the holy ghost.
1Cor.12.4	Ther are diuersites of gyftes, yet but one sprete.
1Cor.12.5	And ther are differences of administracyons, and yet but one Lorde.
1Cor.12.6	And ther are dyuers maners of operacyons, and yet but one God whych worcketh all in all.
1Cor.12.7	The gyfte of the sprete is geuen to euery man, to edifye withall,
1Cor.12.8	For to one is geuen thorow the spirite the vtteraunce of wisdome. To another is geuen the vttraunce of knowledge by the same sprete.
1Cor.12.9	To another is geuen fayth, by the same sprete. To another the gyftes of healinge by the same sprete.
1Cor.12.10	To another power to do miracles. To another prophesye. To another iudgement to discerne spretes. To another diuers tonges. To another the interpretacyon of tonges:
1Cor.12.11	But these all worketh euen the selfe same sprete, diuidynge to euery man a seuerall gyfte, euen as he wyll.
1Cor.12.12	For as the body is one, and hath many membres, and all the membres of one body though they be many, yet are but one bodye, euen so is Christ.
1Cor.12.13	For by one sprete are we all baptysed to make one body, whether we be Iewes or Gentyls, whether we be bonde or fre, and haue all droncke of one sprete.
1Cor.12.14	For the body is not one member, but many.
1Cor.12.15	If the fote saye: I am not the hande, I am not of the body: is he therfore not of the body?
1Cor.12.16	And yf the eare saye, I am not the eye, I am not of the body: is he therfore not of the body?
1Cor.12.17	If all the body were an eye, where were then the eare? If all were hearynge: where were the smellynge?
1Cor.12.18	But nowe hath God set the membres euery one seuerally in the body as it hath pleased him.
1Cor.12.19	If they were all one member: where were the bodye?
1Cor.12.20	Nowe are there many membres, yet but one body.
1Cor.12.21	And the eye can not saye vnto the hande: I haue no nede of the. Agayne, the heed can not saye to the fete: I haue no nede of you.
1Cor.12.22	Yee rather a great deale those membres of the body which seme to be more feble, are necessary.
1Cor.12.23	And vpon those membres of the body which we thinke leest honest, put we more honestye on. And oure vngoodlye partes haue more beautye on.
1Cor.12.24	For oure honest membres nede it not: But God hath so disposed the body, Ꟶ hath geuen the more honoure to that parte whych lacked,
1Cor.12.25	lest there shulde be eny stryfe in the body: but that the membres shuld indifferently care one for another. And yf one member suffer, all suffer with him.
1Cor.12.26	yf one member be had in honour, all membres be glad also.
1Cor.12.27	Ye are the body of Christ, and membres one of another.
1Cor.12.28	And God hath also ordeyned in the congregacyon, fyrst Apostles, secondarely prophetes, thrydly teachers, then them that do myracles: after that, the gyftes of healyng, helpers, gouerners, diuersitye of tonges.
1Cor.12.29	Are all Apostles? Are all Prophetes? Are all teachers? Are all doars of miracles?
1Cor.12.30	Haue all the gyftes of healinge? Do all speake with tonges? Do all interprete?
1Cor.12.31	Couet after the best gyftes. And yet shewe I vnto you a more excellent waye.
1Cor.13.1	Though I spake with the tonges of men and of angels, and haue no loue. I am euen as sounding brasse, or as a tynklinge cymball.
1Cor.13.2	And though I coulde prophesy, and vnderstode all secretes, and all knowledge: yee yf I haue all fayth, so that I can moue mountayns oute of their places, and yet haue no loue, I am nothynge.
1Cor.13.3	And though I bestowe all my goodes to fede the poore, and though I geue my body euen that I burned, and yet haue no loue, it profyteth me nothynge.
1Cor.13.4	Loue suffreth longe, and is curteous. Loue enuyeth not. Loue doth not frowardly, swelleth not, dealeth not dishonestly
1Cor.13.5	seketh not her awne, is not prouoked to anger, thynketh no euyll,
1Cor.13.6	reioyseth not in iniquyte: but reioyseth in the trueth,
1Cor.13.7	suffreth all thynges, beleueth all thynges, hopeth all thynges, endureth all thynges.
1Cor.13.8	Though that prophesyinges fayle, other tonges cease, or knowledge vanysshe awaye, yet loue falleth neuer awaye.
1Cor.13.9	For oure knowledge is vnperfect, and oure prophesyinge is vnperfect.
1Cor.13.10	But when that whych is perfect, is come, then that whych is vnperfect, shall be done awaye.
1Cor.13.11	When I was a chylde, I spake as a chylde, I vnderstode as a chylde, I ymagined as a chylde. But assone as I was a man, I put awaye chyldeshnes.
1Cor.13.12	Nowe we se in a glasse, euen in a darcke speakyng: but then shall we se face to face. Nowe I knowe vnperfectly: but then shall I knowe euen as I am knowen.
1Cor.13.13	Nowe abydeth fayth, hope, and loue, euen these thre: but the chefe of these is loue.
1Cor.14.1	Labour for loue, and couet spretuall gyftes: but most chefly that ye maye prophesye.
1Cor.14.2	For he that speaketh with the tonge, speaketh not vnto men, but vnto God. For no man heareth hym: Houbeit in the sprete he speaketh mysteries.
1Cor.14.3	But he that prophesieth, speaketh vnto men for their edifyinge, for their exhortacion and for their comforte.
1Cor.14.4	He that speaketh with the tonge, proffiteth him selfe: he that prophesieth, edifyeth the congregacion
1Cor.14.5	I wolde that ye all spake with tonges: but rather that ye prophesied. For greater is he that prophesyeth, then he that speaketh with tonges, except he expounde it: that the congregacion maye haue edifying.
1Cor.14.6	Now brethren, yf I come vnto you speakynge with tonges: what shall I profet you, excepte I speake to you, other by reuelacyon or by knowledge, or by prophesyinge, or by doctryne?
1Cor.14.7	Moreouer, when thinges without lyfe geue sounde (whether it be a pype or an harpe) except they make a destruccyon in the soundes, how shall it be knowen what is pyped or harped?
1Cor.14.8	For yf the trompe geue an vncertayne voyce, who shall prepare him selfe to the warre?
1Cor.14.9	Euen so lykewyse when ye speake with tonges, excepte ye speake wordes that haue significacyon, howe shall it be vnderstande what is spoken? For ye shall but speake in the ayer.
1Cor.14.10	Many kyndes of voyces are in the world, and none of them are without significacion.
1Cor.14.11	If I knowe not what the voyce meaneth, I shalbe vnto him that speaketh, an alient: and he that speaketh, shalbe an alient vnto me.
1Cor.14.12	Euen so ye (for as moche as ye couet spretuall gyftes) seke, that ye maye excell, vnto the edifyinge of the congregacyon.
1Cor.14.13	Wherfore, let him that speaketh with tonge, praye, that he maye interpret also.
1Cor.14.14	For If I praye with tonge, my sprete prayeth, but my vnderstonding doth no good.
1Cor.14.15	What is it then? I will praye with the sprete, and will praye with the vnderstonding. I will synge with the sprete, and will synge with the vnderstonding.
1Cor.14.16	For ells, when thou blessest with the sprete, how shall he that occupieth the rowme of the vnlearned, saye Amen, at thy geuynge of thankes, seynge he vnderstandeth not. what thou sayest?
1Cor.14.17	Thou verely geuest thankes well, but the other is not edified.
1Cor.14.18	I thanke my God that I speake with tonges more then ye all.
1Cor.14.19	Yet had I leuer in the congregacion, to speake fyue wordes with my vnderstonding to the informacion of other rather then ten thousand wordes with the tonge.
1Cor.14.20	Brethren, be not ye chyldren in wytte. Howbeit, as concernyng maliciousnes, be children: but in witte be perfect.
1Cor.14.21	In the lawe it is written with sondrie tonges, and with sondrye lyppes will I speake vnto this people, and yet for all that, will they not heare me, sayth the Lorde.
1Cor.14.22	Wherfore tonges are for a sygne, not to them that beleue: but to them that beleue not. Contrary wyse, prophesyinge serueth not for them that beleue not: but for them which beleue.
1Cor.14.23	If therfore, when all the congregacyon is come together, and all speake with tonges, ther come in they that are vnlearned, or they which beleue not: will they not saye, that ye are out of youre wittes?
1Cor.14.24	But and yf all prophesye, and ther come in one that beleueth not, or one vnlearned, he is rebuked of all men, Ꟶ is iudged of euery man,
1Cor.14.25	Ꟶ so are the secretes of his hert opened, and so falleth he downe on his face, and worshyppeth God, Ꟶ sayth, that God is in you of a trueth.
1Cor.14.26	How is it then brethren? As oft as ye come together, euery one of you hath a songe, hath a doctrine, hath a tonge, hath a reuelacyon, hath an interpretacyon. Let all thinges be done vnto edifyinge:
1Cor.14.27	If eny man speake with tonge, let it be by two or at the most by thre, and that by course, and let another interprete it.
1Cor.14.28	But yf ther be no interpreter, let him kepe sylence in the congregacyon, and let him speake to him selfe and to God.
1Cor.14.29	Let the prophetes speake two, or thre, Ꟶ let the other iudge.
1Cor.14.30	If eny reuelacyon be made to another that sytteth by, let the fyrst holde his peace.
1Cor.14.31	For ye maye al prophesy one by one, that all maye learne, and that all maye haue comforte.
1Cor.14.32	And the spretes of the prophetes are in the power of the Prophetes.
1Cor.14.33	For God is not causer of stryfe: but of peace, as in all congregacions of the saynctes.
1Cor.14.34	Let youre wemen kepe sylence in the congregacions. For it is not permitted vnto them to speake: but to be vnder obedience, as sayth the lawe.
1Cor.14.35	If they wyll learne eny thynge, let them aske their husbandes at home. For it is a shame for wemen, to speake in the congregacion.
1Cor.14.36	Spronge the worde of God from you? Ether came it vnto you onely?
1Cor.14.37	If eny man thynke him selfe to be a prophet, ether spirituall: let him knowe, what thynges I wryte vnto you. For they are the commaundementes of the Lorde.
1Cor.14.38	But and yf eny man be ignoraunt, let him be ignoraunt.
1Cor.14.39	Wherfore brethren, couet to prophesye, and forbyd not to speake with tonges.
1Cor.14.40	let all thynges be done honestly and in order
1Cor.15.1	Brethren, as pertaynynge to the gospell whych I preached vnto you, whych ye haue also accepted, and in the whych ye contynue,
1Cor.15.2	by the which also ye are saued: I do you to wit, after what maner I preached vnto you, yf ye kepe it, except ye haue beleued in vayne.
1Cor.15.3	For fyrst of all I delyuered vnto you, that which I receaued: how that Christ dyed for our synnes, agreynge to the scriptures:
1Cor.15.4	And that he was buried, and that he arose agayne the thirde daye accordyng to the scriptures:
1Cor.15.5	Ꟶ that he was sene of Cephas, then of the twelue.
1Cor.15.6	After that was he sene of moo then fyue hundred brethren at once: of whych many remayne vnto this daye, Ꟶ many are fallen a slepe.
1Cor.15.7	After that appeared he to Iames, then to all the Apostles.
1Cor.15.8	And last of all he was sene of me, as of one that was borne oute of due tyme.
1Cor.15.9	For I am the least of the apostles, which am not worthy to be called an Apostle, because I persecuted the congregacyon of God.
1Cor.15.10	But by the grace of God, I am that I am. And his grace which is in me, was not in vayne: But I labored moare aboundauntly then they all, yet not I, but the grace of God which is with me
1Cor.15.11	therfore whether it were I or they, so we preach, Ꟶ so haue ye beleued.
1Cor.15.12	If Christ be preached how that he rose from the deed: how saye some amonge you, that ther is no resurreccyon of the deed:
1Cor.15.13	If there be no rysynge agayne of the deed then is Christ not rysen agayne.
1Cor.15.14	If Christ be not rysen agayne, then is oure preaching in vayne, and your fayth is also in vayne.
1Cor.15.15	Ye and we are founde false wytnesses of God. For we haue testifyed of God, how that he raysed vp Christ: whom he raysed not vp, yf it be so that the deed ryse not agayne.
1Cor.15.16	For yf the deed ryse not agayne, then is Christ not rysen agayne.
1Cor.15.17	If it be so that Christ rose not agayne, then is youre fayth in vayne, and ye are yet in youre synnes.
1Cor.15.18	Therfore they whych are fallen a slepe in Christ, are perysshed.
1Cor.15.19	If in this lyfe onely we beleue on Christ, then are we of all men most miserable.
1Cor.15.20	But now is Christ rysen from the deed, Ꟶ become the fyrst frutes of them that slept.
1Cor.15.21	For by a man came deeth, and by a man came the resurreccyon of the deed.
1Cor.15.22	For as by Adam all dye: euen so by Christ, shall all be made alyue,
1Cor.15.23	but euery man in his awne order. The fyrst is Christ, then they that are Christes at his commynge.
1Cor.15.24	Then commeth the ende, when he hath delyuered vp the kyngdome to God the father, when he hath put downe all rule and all auctorite Ꟶ power.
1Cor.15.25	For he must raygne tyll he haue put all his enemyes vnder his fete.
1Cor.15.26	The last enemye that shalbe destroyed, is deeth
1Cor.15.27	For he hath put all thynges vnder his fete. But when he sayth all thynges are put vnder him, it is manifest that he is excepted, which dyd put all thynges vnder him.
1Cor.15.28	When all thynges are subdued vnto him, then shall the sonne also him selfe be subiect vnto him, that put all thynges vnder him, that God maye be all in all.
1Cor.15.29	Els what do they, whych are baptised ouer the deed yf the deed ryse not at all? Why are they then baptised ouer them?
1Cor.15.30	Yee and why stonde we all waye then in ieoperdy?
1Cor.15.31	By oure reioysinge which I haue in Christ Iesu oure Lorde, I dye dayly.
1Cor.15.32	That I haue fought with beastes at Ephesus after the maner of men, what auauntageth it me, yf the deed ryse not agayne: Let vs eate and dryncke, for to morowe we shall dye.
1Cor.15.33	Be not ye deceaued: euell wordes corrupte good maners.
1Cor.15.34	Awake truely out of slepe, and synne not. For some haue not the knowledge of God: I speake this to youre shame.
1Cor.15.35	But some man will saye: howe aryse the deed? wt what bodye shall they come?
1Cor.15.36	Thou foole, that which thou sowest, is not quickened, except it dye.
1Cor.15.37	And what sowest thou? Thou sowest not that body that shalbe: but bare corne (as of wheet, or of some other)
1Cor.15.38	but God geueth it a body at his pleasure, to euery seed his awne body.
1Cor.15.39	All flesshe is not one maner of flesshe: but ther is one maner of flesshe of men, another maner of flesshe of beastes, another of fysshes, Ꟶ another of byrdes.
1Cor.15.40	Ther are also celestiall bodyes, Ꟶ ther are bodyes terrestriall. But the glory of the celestiall is one, Ꟶ the glory of the terrestriall is another.
1Cor.15.41	Ther is one maner glory of the sonne, and another glory of the moone, Ꟶ another glory of the sterres. For one starre differeth from another in glory
1Cor.15.42	So is the resurreccyon of the deed. It is sowen in corrupcion, it ryseth agayne in incorrupcyon.
1Cor.15.43	It is sowen in dishonour, it ryseth agayne in honoure. It is sowen in weaknes, it ryseth agayne in power. It is sowen a naturall body, it ryseth agayne a spretuall body.
1Cor.15.44	Ther is a naturall bodye, Ꟶ ther is a spretuall body:
1Cor.15.45	as it is also written: the fyrste man Adam was made a lyuinge soule, and the last Adam was made a quyckening sprete.
1Cor.15.46	Howbeit, that is not fyrst which is spirituall: but that which is naturall, and then that which is spretuall
1Cor.15.47	The fyrst man is of the erth, erthy: the seconde man is the Lorde from heauen
1Cor.15.48	As is the erthy, soche are they that are erthye. And as is the heuenly, soche are they that are heuenly.
1Cor.15.49	And as we haue borne the ymage of the erthy, so shall we beare the ymage of the heauenly.
1Cor.15.50	This saye I brethren the flesshe Ꟶ bloud cannot inheret the kyngdom of God. Nether doth corrupcyon inheret vncorrupcyon.
1Cor.15.51	Beholde, I shewe you a mistery. We shall not all slepe: but we shall all be chaunged,
1Cor.15.52	and that in a moment, in the twyncklynge of an eye by the last trompe. For the trompe shall blowe, and the deed shall ryse incorruptible, Ꟶ we shalbe chaunged.
1Cor.15.53	For this corruptible must put on incorrupcyon: and this mortall must put on immortalite.
1Cor.15.54	When this corruptible hath put on incorruption, and this mortall hath put on immortalite: then shalbe brought to passe the saying that is written:
1Cor.15.55	Deeth is swalowed vp in victory: Deeth where is thy stynge? Hell where is thy victory?
1Cor.15.56	The stynge of deeth is synne: and the strength of synne is the lawe.
1Cor.15.57	But thankes be vnto God which hath geuen vs victory, thorowe oure Lord Iesus Christ.
1Cor.15.58	Therfore my deare brethren, be ye stedfast and vnmouable, alwayes ryche in the worke of the Lorde, for as moch as ye knowe, how that youre labour, is not in vayne in the Lorde.
1Cor.16.1	Concernyng the gatherynge for the sainctes, as I haue ordeyned in the congregacyons of Galacia, euen so do ye.
1Cor.16.2	Upon some Saboth daye let euery one of you put a syde at home, and laye vp whatsoeuer is mete, that there be no gatherynges when I come.
1Cor.16.3	When I am come, whomsoeuer ye shall alowe by youre letters, them wyll I sende, to brynge youre liberalyte vnto Ierusalem.
1Cor.16.4	And yf it be mete that I go also, they shall go wt me.
1Cor.16.5	I wyll come vnto you whan I go ouer to Macedonia. For I wyll go thorowe out Macedonia.
1Cor.16.6	With you parauenture I wyll abyde a whyle: or els tary all wynter, that ye maye brynge me on my waye, whythersoeuer I go.
1Cor.16.7	I wyll not se you now in my passage: but I trust to abyde a whyle with you, yf God shall suffre me.
1Cor.16.8	I wyll tary at Ephesus, vntyll the fyftyeth daye.
1Cor.16.9	For a greate dore and a frutefull is opened vnto me and ther are many aduersaryes.
1Cor.16.10	If Timotheus come, se that he be with out feare with you. For he worketh the worcke of the Lorde, as I do:
1Cor.16.11	let no man therfore despyse him. but conuaye hym forth in peace, that he maye come vnto me. For I loke for him with the brethren.
1Cor.16.12	To speake of brother Apollo I greatly desyred him, to come vnto you with the brethren, but his mynde was not at all to come at this tyme. Howbeit, he wyll come, when he shall haue conuenient tyme.
1Cor.16.13	Watche ye, stonde fast in the fayth, quyte you lyke men, be stronge.
1Cor.16.14	Let all youre busynes be done with loue.
1Cor.16.15	Brethren, ye knowe the house of Stephana how that they are the fyrst frutes of Achaia, and that they haue apoynted them selues to minister vnto the sainctes:
1Cor.16.16	I beseche you that ye be obedient vnto soche, and to all that helpe and laboure.
1Cor.16.17	I am glad of the commynge of Stephana Ꟶ Fortunatus and Achaicus: for that whych was lackinge vnto me on youre parte they haue supplied.
1Cor.16.18	For they haue comforted my sprete Ꟶ youres. Loke therfore that ye knowe them that are soche.
1Cor.16.19	The congregacyons of Asia salute you Aquila and Priscilla salute you moch in the Lorde, and so doeth the congregacyon that is in their house.
1Cor.16.20	All the brethren grete you Grete ye one another with an holy kysse.
1Cor.16.21	The salutacyon of me Paul with myne awne hande.
1Cor.16.22	If eny man loue not the Lord Iesus Christ, the same be Anathema maranatha.
1Cor.16.23	The grace of the Lord Iesus Christ be with you:
1Cor.16.24	My loue be with you all in Christ Iesu. Amen.
1Cor.0.0	¶ The fyrst epistle to the Corinthyans, was sent from Philippos, by Stephanan and Fortunatus, and Achaicus and Timotheus.
