Mark.0.0	¶ The Gospell of S. Marke.
Mark.1.1	The begynnynge of the Gospell of Iesu Chryst the sonne of God,
Mark.1.2	as it is written in the Prophetes, behold, I sende my messenger before thy face which shall prepare thy waye before the.
Mark.1.3	The voyce of a cryer in the wildernes: prepare ye the waye of the Lorde, Ꟶ make his pathes strayte.
Mark.1.4	Iohn dyd baptyse in the wyldernes, and preached the baptyme of repentaunce, for the remissyon of synnes.
Mark.1.5	And all the lande of Iewrie and they of Ierusalem, went out vnto hym, and were all baptised of him in the ryuer Iordan, confessynge their synnes.
Mark.1.6	Iohn was clothed with camilles herr, and wt a gerdyll of a sayng about hys loynes. And he dyd eate locustes and wilde hony,
Mark.1.7	and preached sayinge. He that is stronger then I, commeth after me, whose sho latchet I am not worthy to stoupe downe, and vnlose,
Mark.1.8	I haue baptysed you wyth water: but he shall baptyse you with the holy gost.
Mark.1.9	And it came to passe in those dayes, that Iesus cam from Nazareth, of Galile: and was baptysed of Iohn in Iordan:
Mark.1.10	And assone as he was come vp out of the water: he sawe heauen open, Ꟶ the sprete descendynge vpon him lyke adoue:
Mark.1.11	And ther came a voyce from heauen. Thou art my deare sonne in whom I delyte.
Mark.1.12	And immediatly sprete droue him into wildernes:
Mark.1.13	and he was there in the wyldernes .xl. dayes, and was tempted of Satan, Ꟶ was with wilde beastes. And the angels minystred vnto hym.
Mark.1.14	After that Iohn was taken Iesus came into Galile preachinge the Gospell, of the kyngdom of God,
Mark.1.15	Ꟶ sayinge. the tyme is come, Ꟶ the kyngdom of God is at hand repent, and beleue the Gospell.
Mark.1.16	As he walked by the see of Galile, he sawe Simon Ꟶ Andrew his brother, castynge nettes into the see, for they were fisshers.
Mark.1.17	And Iesus sayde vnto them: folowe me, Ꟶ I will make you to become fysshers of men.
Mark.1.18	And strayght waye, they forsoke their nettes, and folowed him.
Mark.1.19	And when he had gone a lytell further thence, he sawe Iames the sonne of zebede, and Iohn his brother, which also were in the shyppe, mendynge their nettes.
Mark.1.20	And anone he called them. And they leeft their father zebede in the shyp wyth the hyred seruauntes, and folowed hym.
Mark.1.21	And they came into Capernaum: and streyght waye on the Saboth dayes, he entred into the synagoge, Ꟶ taught.
Mark.1.22	And they were astonnyed at hys learnynge. For he taught them as one that had auctorite, Ꟶ not as the Scribes.
Mark.1.23	And there was in their Sinagoge a man vexed with an vnclene spirite, and he cryed
Mark.1.24	sayinge: Alas, what haue we to do with the thou Iesus of Nazareth? Art thou come to destroye vs? I knowe the what thou art euen that holy one of God.
Mark.1.25	And Iesus rebuked hym sayinge: holde thy peace, and come out of the man.
Mark.1.26	And whan the vncleane spirite had toarne him, Ꟶ cryed with a loude voyce, he came out of him.
Mark.1.27	And they were all amased, in so moch that they demaunded one of another amonge them selues sayinge: what thyng is this? What newe doctrine is thys? For with auctorite commaunded he the foule spirites, and they obeyed hym.
Mark.1.28	And immediatly his fame spred abroad through out all the region borderinge on Galile.
Mark.1.29	And forth with, whan they were come out of the Synagoge they entred into the house of Symon and Andrew, wyth Iames and Iohn.
Mark.1.30	But Simons mother in lawe laye sycke of a feuer. And anone they tell him of her.
Mark.1.31	And he came, Ꟶ toke her by the hande: Ꟶ lifte her vp: Ꟶ ymediatly the feuer forsoke hyr, Ꟶ she mynistred vnto them.
Mark.1.32	And at euen when the sonne was downe, they brought vnto him all that were dyseased, and them that were vexed with deuyls.
Mark.1.33	And all the cytie was gathred to gether at the dore,
Mark.1.34	and he healed many that were sycke of dyuers deseases, and cast out many deuyls, Ꟶ suffred not the deuyls to speake, because they knewe him.
Mark.1.35	And in the mornynge very early, Iesus (whan he was rysen vp) departed, and went out into a solitary place, and there prayed.
Mark.1.36	And Symon and they that were with hym, folowed after hym.
Mark.1.37	And when they had founde him, they saye vnto him: all men seke for the.
Mark.1.38	And he sayd vnto them: let vs go into the next townes, that I maye preach there also: for therfore am I come.
Mark.1.39	And he preached in their Synagoges, in all Galile, and cast the deuyls out.
Mark.1.40	And ther came a leper to him, besechynge hym, and knelyng downe, and sayeng vnto him, yf thou wilt, thou cannest make me cleane.
Mark.1.41	And Iesus had compassion on hym, Ꟶ puth forth his hande, touched hym, Ꟶ sayeth vnto him: I wyll, be thou cleane.
Mark.1.42	And assone as he had spoken, immediatly the leprosy departed from him,
Mark.1.43	and he sent him awaye forth with,
Mark.1.44	and sayeth vnto hym. Se thou saye nothynge to any man: but get the hence, shewe thy selfe to the Preaste, and offer for thy clensinge, those thinges whych Moses commaunded, for a witnesse vnto them.
Mark.1.45	But he (assone as he was departed) beganne to tell many thinges, and to publyshe the sayenge: in so moch that Iesus coulde nomore openly entre into the cytie, but was with out in desert places. And they came to hym from euery quarter.
Mark.2.1	After a feawe dayes also, he entred into Capernaum agayne, and it was noysed that he was in the house.
Mark.2.2	And anone many were gathered together, in so moch that now there was no rome to receaue them, no not so moche as about the dore. And he preached the worde vnto them.
Mark.2.3	And they came vnto him, bringing one sycke of the palsye whych was borne of fowre men.
Mark.2.4	And when they coulde not come nye vnto him for prease, they vncouered the rofe of the house that he was in. And when they had broken vp the rofe, they dyd (wyth coardes) let downe the bed wherin the sycke of the palsye laye.
Mark.2.5	When Iesus sawe their fayth, he sayde vnto the sycke of the palsye: sonne thy synnes be forgeuen the.
Mark.2.6	But ther were certayne of the Scribes syttinge there, Ꟶ thinking in their hertes:
Mark.2.7	why doth he speake thys blasphemyes? who can forgeue synnes, but God onely?
Mark.2.8	And immediatly when Iesus perceaued in hys sprete, that they so thought wyth in them selues, he sayeth vnto them: why thynke ye soch thinges in youre hertes?
Mark.2.9	Whether is it esayer to saye to the sycke of the palsye: thy synnes be forgeuen the: or to saye, aryse, take vp thy bed, and walke?
Mark.2.10	But that ye maye knowe, that the sonne of man hath power in earth to forgeue synnes, he spake vnto the sycke of the palsye:
Mark.2.11	I saye vnto the: aryse, and take vp thy beed, and get the hense vnto thyne awne house.
Mark.2.12	And immediatly he arose, toke vp the bed, and went forth before them all: in so moch that they were all amased, Ꟶ glorifyed God, sayinge: we neuer sawe it on this fassyon.
Mark.2.13	And he went agayne vnto the see, Ꟶ all the people resorted vnto hym, and he taught them.
Mark.2.14	And as Iesus passed by, he sawe Leuy the sonne of Alphe, sytting at the receyte of custome, and sayde vnto him: folowe me. And he arose, and folowed hym.
Mark.2.15	And it came to passe that whan Iesus sate at meate in hys house, many publicans and synners sate also together at meate wyth Iesus and his disciples. For there were many, that folowed hym.
Mark.2.16	And when the Scrybes and Pharises sawe him eate with publicans and synners, they sayde vnto his disciples: how happeneth it, that he eateth Ꟶ dryncketh wyth publicans and synners?
Mark.2.17	When Iesus hearde that, he sayde vnto them: They that be whole, haue no nede of the Phisycion, but they that are sycke. I came not to call the ryghtwyse, but synners to repentaunce.
Mark.2.18	And the disciples of Iohn and the Pharises dyd fast: and they come and saye vnto him. Why do the disciples of Iohn and of the Pharises fast, but thy disciples fast not?
Mark.2.19	And Iesus sayde vnto them: can the children of the weddinge fast while the brydgrome is with them? As longe as they haue the brydgrome with them, they cannot fast.
Mark.2.20	But the dayes wyll come, when the brydgrome shalbe taken awaye from them, and then shall they fast in those dayes.
Mark.2.21	No man also soweth a pece of new cloth vnto an olde garment, els taketh he awaye the new pece therof from the olde, Ꟶ so is the rent worse.
Mark.2.22	And no man powreth new wine into olde botels: els the new wynd doth burst the bottels, and the wyne runneth out, and the bottels are marred. But new wine must be putt into new bottels.
Mark.2.23	And it chaunsed that he went thorow the corne feldes on the Sabboth dayes, and hys disciples, beganne by the waye to plucke the eares of corne.
Mark.2.24	And the Pharises sayde vnto him: beholde, why do they on the Sabboth dayes, that whych is not laufull?
Mark.2.25	And he sayde vnto them: haue ye neuer red what Dauid dyd, when he had nede, Ꟶ was an hongred, both he, and they that were with him?
Mark.2.26	How he went into the house of God in the dayes of Abiathar the hye Preast, and dyd eate the shewbread, (whych is not lawfull to eate, but for the Prestes onely) Ꟶ gaue also to them whych were wyth hym?
Mark.2.27	And he sayde vnto them: the Sabboth was made for man, Ꟶ not man for the Sabboth.
Mark.2.28	Therfore is the sonne of man, Lorde also of the Sabboth.
Mark.3.1	And he entred agayne into the synagoge, and ther was a man there whych and a wythred hande.
Mark.3.2	And they watched hym, whether he wolde heale hym on the Sabboth daye, that they myght accuse hym.
Mark.3.3	And he sayde vnto the man whych had the wythred hande: aryse, and stande in the middes.
Mark.3.4	And he sayth vnto them, whether is it lawfull to do good on the Sabboth dayes, or to do euyll? to saue lyfe, or to kyll? But they helde their peace.
Mark.3.5	And whan he had looked round aboute on them, wyth anger, mournynge on the blyndnes of their hertes, he sayeth to the man, stretch forth thine hande. And he stretched it out. And hys hande was restored, euen as whole as the other.
Mark.3.6	And the Pharises departed, and streight waye gathred a councell (with them that belonged to Herode) agaynst hym, that they myght destroye him.
Mark.3.7	But Iesus auoyded wt his disciples to the see. And a greate multitude folowed hym from Galile: and from Iurie,
Mark.3.8	and from Ierusalem, and from Idumea, and from beyonde Iordane, and they that dwelled about Tyre and Sidon, a greate multitude of men: which (when they had herde what thinges he dyd) came vnto hym.
Mark.3.9	And Iesus commaunded his disciples, that a ship shuld wayt on hym, because of the people, leste they shuld thronge him.
Mark.3.10	For he had healed many, in somoch that they preased vpon him, for to touch him, as many as had plages.
Mark.3.11	And when the vncleane spretes sawe him, they fell downe before him, Ꟶ cryed, sayinge: thou art the sonne of God.
Mark.3.12	And he straytly charged them, that they shuld not make him knowne.
Mark.3.13	And he went vp into a mountayne, Ꟶ called vnto hym whom he wolde, and they came vnto him.
Mark.3.14	And he ordeyned the twelue that they shuld be with him, and that he myght sende them forth to preach:
Mark.3.15	Ꟶ that they myght haue power to heale syknesses, Ꟶ to cast out deuyls.
Mark.3.16	And he gaue vnto Symon to name, Peter.
Mark.3.17	And he called Iames the sonne of zebede and Iohn, Iames brother, and gaue them to name Boanarges, whych is to saye, the sonnes of thonder.
Mark.3.18	And Andrew, Ꟶ Philip, and Bartholomew, and Mathew, Ꟶ Thomas, and Iames the sonne of Alphe, and Thaddeus, and Symon of Canaan,
Mark.3.19	and Iudas Iscarioth: whych also betrayed him. And they came into the house,
Mark.3.20	and the people assembled together agayne, so that they had not leysar, so moch as to eate breed.
Mark.3.21	And when they that belonged vnto hym, heard of it, they went out to laye handes vpon him. For they sayde: he is madd.
Mark.3.22	And the Scrybes whych came downe from Ierusalem, sayde: he hath Belzebub, and by the chefe deuyll, casteth he out deuyls.
Mark.3.23	And he called them vnto him, and sayde vnto them in parables. How can Satan dryue out Satan?
Mark.3.24	And yf a realme be deuyded agaynste it selfe, that realme cannot endure:
Mark.3.25	And yf a house be deuided againste it selfe, that house cannot contynue.
Mark.3.26	And yf Satan make insurreccyon agaynst him selfe, Ꟶ be deuided, he cannot contynue, but hath an ende:
Mark.3.27	No man can entre into astronge mans house, Ꟶ take awaye hys goodes, excepte he fyrst bynde the stronge man, Ꟶ then spoyle his house.
Mark.3.28	Uerely I saye vnto you, all synnes shalbe forgeuen vnto mens children: and blasphemyes wherwith soeuer they haue blasphemed.
Mark.3.29	But he that speaketh blasphemy agaynst the holy goost, hath neuer forgeuenes, but is in daunger of eternall damnacyon:
Mark.3.30	For they sayde: he hath an vncleane sprete.
Mark.3.31	There came also his mother Ꟶ his brethren, and stode with out, and sent vnto him to call him out.
Mark.3.32	And the people sat aboute him, and sayde vnto him: beholde, thy mother Ꟶ thy brethren seke for the with out.
Mark.3.33	And he answered them, sayinge: who is my mother and my brethren?
Mark.3.34	And whan he had loked rounde about on his discyples, which sat in compasse about him, he sayde: behold my mother and my brethren.
Mark.3.35	For whosoeuer doeth the wyll of God, the same is my brother and my syster and mother.
Mark.4.1	And he began agayne, to teach by the see syde. And there gathered together vnto him moch people, so greatly that he entred into a ship, and sat in the see, and all the people was by the see syde on the shore.
Mark.4.2	And he taught them many thinges by parables, and sayde vnto them in his doctrine?
Mark.4.3	Herken to: beholde, there went out a sower to sowe.
Mark.4.4	And it fortuned as he sowed, that some fell by the waye syde, and the fowles of the ayre came, and deuoured it vp:
Mark.4.5	Some fell on stony grounde where it had not moch erth: and immediatly sprange vp, because it had not deepth of erth:
Mark.4.6	but as sone as the sonne was vp, it caught heat: Ꟶ because it had not rotynge, it wyddred awaye.
Mark.4.7	And some fell amonge thornes, Ꟶ the thornes grew vp, and choked it, and it gaue no frute.
Mark.4.8	And some fel vpon good grounde, and dyd yelde frute that sprong vp, and grewe, and brought forth, some thyrty folde, and some syxtye folde, and some an hundred folde.
Mark.4.9	And he sayde vnto them: he that hath eares to heare let him heare.
Mark.4.10	And when he was alone, they that were aboute hym wyth the twelue asked hym of the parable.
Mark.4.11	And he sayde vnto them. To you is it geuen to knowe the mystery of the kyngdome of God. But vnto them that are with out, all thinges happen by parables:
Mark.4.12	that when they se, they maye se, and not discerne, and when they heare, they maye heare, and not vnderstande: lest at any tyme they shulde turne, and their synnes shuld be forgeuen them.
Mark.4.13	And he sayde vnto them: Knowe ye not this parable? and how then wyll ye knowe all other parables?
Mark.4.14	The sower soweth the worde.
Mark.4.15	And they (wherof some be rehearsed to be by the waye syde) are those, where the worde is sowen: And whan they heare, Sathan cometh immediatly, and taketh awaye the worde that was sowen in theyr hertes.
Mark.4.16	And lyke wyse the other that receaue sede in to the stonye grounde, are they: whych when they heare the worde, at once receaue it wt gladnes,
Mark.4.17	yet haue no rote in them selues, and so endure but a tyme: and anone whan trouble Ꟶ persecucyon aryseth for the wordes sake, they fall immediatly.
Mark.4.18	There be other also that receaue sede into thornes and those are soche as heare the worde,
Mark.4.19	Ꟶ the cares of this worlde, and the disseytfulnes of ryches and the lustes of other thinges, entre in and choke the worde, and it is made vnfrutfull:
Mark.4.20	and other ther be, that haue receaued sede into a good ground: they are soche that heare the worde, and receaue it, so that one corne doth brynge forth thyrty, some syxty, some an hundred.
Mark.4.21	And he sayde vnto them: is the candle lyghted, to be put vnder a bushell, or vnder the table? Is it not lyghted to be put on a candelstyk?
Mark.4.22	For there is nothynge so preuy, that shall not be opened: nether hath it bene so secret, but that it shall come abroade.
Mark.4.23	If eny man haue eares to heare, let him heare.
Mark.4.24	And he sayde vnto them: take hede what ye heare: With what measure ye meete, with the same shall other men measure vnto you agayne. And vnto you that heare, shall more be geuen.
Mark.4.25	For vnto him that hath, shall it be geuen, and from him that hath not, shalbe taken awaye, euen that which he hath.
Mark.4.26	And he sayde: so is the kyngdome of God, euen as yf a man shuld sowe sede in the grounde
Mark.4.27	and shulde slepe, and ryse vp nyght and daye: and the sede shuld sprynge and growe vp, while he is not aware.
Mark.4.28	For the earth bryngeth forth frute of her selfe: fyrst the blade, then the eare, after that the full corne in the eare.
Mark.4.29	But whan the frute is brought forth, anone he throusteth in the sykell, because the heruest is come.
Mark.4.30	And he sayde: where vnto shall we lyken the kyngdome of God? or with what comparison shall we compare it?
Mark.4.31	It is lyke a grayne of mustarst seed: whych when it is sowen in the earth, is lesse then all seedes that be in the earth:
Mark.4.32	whan it is sowen, it groweth vp, and is greater then all herbes: and beareth greate braunches, so that the fowles of the ayre maye make their nestes vnder the shadow of it.
Mark.4.33	And with many soche parables spake he the worde vnto them, after as they myght heare it.
Mark.4.34	But wyth out parable spake he nothynge vnto them. But when they were alone, he expounded all thynges to his discyples.
Mark.4.35	And the same daye when euen was come, he sayde vnto them: let vs passe ouer vnto the other syde,
Mark.4.36	And they lefte the people, Ꟶ toke him euen as he was in the ship. And ther were also wyth hym other shippes.
Mark.4.37	And ther arose a great storme of wynde, Ꟶ the waues dashed in to the ship, so that it was now full.
Mark.4.38	And he was in the sterne a slepe on a pelowe. And they awake him, Ꟶ saye vnto hym: Master, carest thou not, that we perishe?
Mark.4.39	And he rose vp, and rebuked the wynde, and sayde vnto the see: peace, be styll. And the wynde ceassed, and ther folowed a greate calme.
Mark.4.40	And he sayde vnto them: why are ye so fearfull? How happeneth it, that ye haue no fayth?
Mark.4.41	And they feared exceadingly, and sayde one to another: who is thys? For both wynde and see obeye hym.
Mark.5.1	And they cam ouer to the other syde of the see into the countre of the Gaderenites.
Mark.5.2	And when he was come out of the shippe, immediatly there met hym out of the graues a man possessed of an vncleane sprete,
Mark.5.3	whych had hys abydinge amonge the graues. And no man coulde bynde him: no not with cheynes,
Mark.5.4	because that when he was often bounde with fetters and cheynes, he plucked the chaynes a sundre, and brake the fetters in peces, Nether coulde eny man tame him.
Mark.5.5	And alwayes, nyght and daye he was in the mountaynes and in the graues, cryeng and beatyng hym selfe wyth stones.
Mark.5.6	But when he had spyed Iesus a farre of, he ranne, and worshipped him,
Mark.5.7	and cryed with a loude voyce and sayde what haue I to do wyth the: Iesus thou sonne of the moost hyest God? I requyre the in the name of God that thou torment me not.
Mark.5.8	For he sayd vnto hym: come out of the man thou foule sprete.
Mark.5.9	And he asked hym: what is thy name? And he answered and sayde vnto hym: my name is Legion, for we are many.
Mark.5.10	And he prayd hym instantly, that he wolde not sende them awaye out of the countre.
Mark.5.11	But ther was there nye vnto the mountayns a greate heerd of swyne fedynge,
Mark.5.12	Ꟶ all the deuyls besought him, sayinge: sende vs in to the heerd of swyne, that we maye enter into them.
Mark.5.13	And anone Iesus gaue them leaue. And the vncleane spretes went out, and entred in to the swyne. And the heerd was caryed headlyng into the see. They were allmost .ij.M. and were drowned in the see.
Mark.5.14	And the swyne heerdes fleed, and tolde it in the cytie, and in the feldes. And they went out for to se, what had happened:
Mark.5.15	Ꟶ came to Iesus, and sawe him that was vexed with the fende Ꟶ had the Legion, syt, both clothed and in his ryght mynde, and they were afrayed.
Mark.5.16	And they that sawe it tolde them, how it had happened to him that was possessed wyth the deuyll: Ꟶ also of the swyne.
Mark.5.17	And they beganne to praye hym, that he wolde departe out of their coast.
Mark.5.18	And when he was come into the shippe, he that had the deuyll, prayed hym, that he myght be wt him.
Mark.5.19	Howbeit, Iesus wolde not suffre hym, but sayde vnto him: go to thyne awne house and to thy frendes, and shewe them how great thynges the Lorde hath done for the, and how he hath had compassyon on the.
Mark.5.20	And he departed, Ꟶ beganne to publyshe in the ten cytyes, how greate thinges Iesus had done for hym, and all men dyd merueyle.
Mark.5.21	And when Iesus was come ouer agayne by shyppe vnto the other syde, moch people gathered vnto him, and he was nye vnto the see.
Mark.5.22	And beholde, ther came one of the rulers of the Synagoge, whose name was Iairus: and when he sawe him, he fel downe at his fete,
Mark.5.23	and besought hym greatly, sayinge: my daughter lyeth at poynt of deeth, I pray the come, and laye thy hande on her, that she maye be safe and lyue.
Mark.5.24	And he went with hym, Ꟶ moch people folowed him, Ꟶ thronged hym.
Mark.5.25	And ther was a certen woman, which had bene diseased of an yssue of bloude .xij. yeres,
Mark.5.26	and had suffred many thinges of many physycions, Ꟶ had spent all that she had, Ꟶ felte none amendement at all, but rather was worsse, and worsse.
Mark.5.27	When she had herde of Iesus, she came in the preasse behinde him, Ꟶ touched his garment.
Mark.5.28	For she sayde: yf I maye but touch his clothes, I shall be whole.
Mark.5.29	And streyght waye the fountayne of her bloude was dryed vp, Ꟶ she felt in her body, that she was healed of that plage.
Mark.5.30	And Iesus immediatly felynge in him selfe, that vertue proceaded from him, tourned him aboute in the prease, and sayde, who touched my clothes?
Mark.5.31	And hys dyscyples sayde vnto him: thou seest the people thrust the, and askest, thou who dyd touch me?
Mark.5.32	And he loked round about for to se her that had done thys thynge.
Mark.5.33	But the woman fearing and trembling (knowyng what was done wyth in her) came, and fell downe before him, Ꟶ tolde him all the truth.
Mark.5.34	And he sayd vnto her: Daughter thy fayth hath saued the: go in peace, and be whole of thy plage.
Mark.5.35	Whyll he yet spake, ther came from the ruler of the Synagoges house, certayne which sayd: thy daughter is deed: why diseasest thou the Master any further?
Mark.5.36	Assone as Iesus hearde the worde that was spoken, he sayde vnto the ruler of the Synagoge: be not afrayed, onely beleue.
Mark.5.37	And he suffred no man to folowe him, saue Peter, and Iames, and Iohn the brother of Iames.
Mark.5.38	And he came vnto the house of the ruler of the Synagoge, and sawe the wondringe: and them that wepte and wayled greatly,
Mark.5.39	and went in, and sayde vnto them: why make ye this a doo, and wepe? The damosell is not deed, but slepeth.
Mark.5.40	And they laught him to scorne. But he put them all out, and taketh the father and the mother of the damosell, and them that were wyth him, and entreth in where the damosell laye,
Mark.5.41	Ꟶ taketh the damosell by the hande Ꟶ sayeth vnto hyr: Tabita, cumi: whych is (yf one do interprete it) damosell, I saye vnto the: aryse.
Mark.5.42	And streyght waye the damosell arose, and walked. For she was of the age of twelue yeres. And they were astonyed out of measure.
Mark.5.43	And he charged them straytely, that no man shuld knowe of it, and commaunded, to geue her meate.
Mark.6.1	And he departed thence, Ꟶ cam into hys awne countre, and hys dyscyples folowed hym.
Mark.6.2	And when the Sabboth daye was come, he beganne to teache in the synagoge. And many that hearde hym were astonnyed, and sayd: from whence hath he these thynges? And what wysdome is thys that is geuen vnto hym: and suche vertues that are wrought by hys handes?
Mark.6.3	Is not thys the carpenter Maryes sonne, the brother of Iames and Ioses and of Iuda Ꟶ Symon? Ꟶ are not hys systers here wyth vs? And they were offended at hym.
Mark.6.4	Iesus sayd vnto them: a Prophet is not despysed, but in hys awne countre, and amonge hys awne kynne, and in his owne houshold.
Mark.6.5	And he coulde there shewe no myracle, but layde hys handes vpon a fewe sycke folcke, and healed them,
Mark.6.6	and merueyled, because of theyr vnbelefe. And he went aboute by the tounes that laye on euery syde, teaching.
Mark.6.7	And he called the twelue, and beganne to sende them forth two Ꟶ two, and gaue them power agaynst vncleane spretes.
Mark.6.8	And commaunded them, that they shuld take nothing in their iorney saue a rodde onely: no scryppe, no bread, no money in theyr pourse,
Mark.6.9	but shuld be shood wt sandals. And that they shuld not put on two cootes.
Mark.6.10	And he sayde vnto them: whersoeuer ye entre in to an house, there abide, tyll ye departe thence.
Mark.6.11	And whosoeuer shall not receaue you nor heare you, when ye departe thence, shake of the duste that is vnder youre fete, for a witnesse vnto them. I saye verely vnto you: it shalbe easier for zodom Ꟶ Gomor in the daye of iudgement, then for that cytie.
Mark.6.12	And they went out Ꟶ preached, that men shuld repent:
Mark.6.13	Ꟶ they cast out many deuyls: Ꟶ annoynted many that were sycke wyth oyle, and healed them.
Mark.6.14	And kynge Herode hearde of hym (for hys name was spred abroade) and he sayde: Iohn Baptyste is rysen agayne from the deed, Ꟶ therfore myracles are wrought by him.
Mark.6.15	Other sayd it is Helyas: some sayd: it is a prophet, as one of the Prophetes.
Mark.6.16	But when Herode hearde of hym, he sayde: it is Iohn whom I beheaded, he is rysen from deeth agayne.
Mark.6.17	For Herode hym selfe had sent forth men of warre, and layed handes vpon Iohn, and bounde hym, Ꟶ cast hym into preson for Herodias sake, hys brother Phylyppes wyfe (because he had maryed her).
Mark.6.18	For Iohn sayde vnto Herode. It is not lawfull for the to haue thy brothers wyfe.
Mark.6.19	Herodias layd wayte for hym, and wolde haue kylled him, but she coulde not.
Mark.6.20	For Herod feared Iohn, knowing that he was a iust man Ꟶ an holy: Ꟶ gaue hym reuerence: and when he hearde hym, he dyd many thynges, and hearde hym gladly.
Mark.6.21	And when a conuenyent daye was come, that Herode on hys byrth daye, made a supper to the lordes hye captayns, Ꟶ chefe estates of Galile:
Mark.6.22	Ꟶ whan the daughter of the same Herodias cam in, Ꟶ daunsed, Ꟶ pleased Herode Ꟶ them that sate at bourde also: the kynge sayde vnto the damosell: aske of me what thou wilt, and I wyll geue it the.
Mark.6.23	And he sware vnto hyr: whatsoeuer thou shalt aske of me, I wyll geue it the euen vnto the one halfe of my kyngdome.
Mark.6.24	And she went forth, Ꟶ sayde vnto her mother: what shall I aske? she sayd: Iohn Baptystes head.
Mark.6.25	And she cam in streyght waye wyth haste vnto the kynge, Ꟶ asked, sayinge: I wyll, that thou geue me by and by in a charger, the heed, of Iohn Baptyst.
Mark.6.26	And the kynge was sory: howbeit for hys othes sake, and for theyr sakes whych sate at supper also, he wolde not cast her off.
Mark.6.27	And immediatly the kyng sent the hangman, and commaunded hys head to be brought in. And he went, and beheaded hym in the preson,
Mark.6.28	and brought his head in a charger, and gaue it to the damosell, and the damosell gaue it to her mother.
Mark.6.29	And when hys dyscyples hearde of it, they came, and toke vp hys body, and layed it in a graue.
Mark.6.30	And the Apostles gathered them selues together vnto Iesus, and told hym all thynges both what they had done, and what they had taught.
Mark.6.31	And he sayd vnto them come ye alone out of the waye into the wyldernes, Ꟶ rest a whyle. For there were many commers, and goers, and they had no leasure so moch as to eate.
Mark.6.32	And he went by shyp out of the waye into a deserte place.
Mark.6.33	And the people spyed them when they departed: Ꟶ many knewe hym, Ꟶ ranne a fote thyther out of all cyties, and cam thyther before them, and came together vnto hym.
Mark.6.34	And Iesus went out Ꟶ sawe moche people, Ꟶ had compassyon on them, because they were lyke shepe, not hauinge a shepherde. And he beganne to teach them many thynges.
Mark.6.35	And when the daye was now farre spent, hys discyples came vnto hym, sayinge: thys is a desert place, and now the tyme is farre passed,
