Mark.0.0	¶ The Gospell of S. Marke.
Mark.11.25	And when ye stand Ꟶ praye, forgeue, yf ye haue ought agaynst eny man, that youre father also whych is in heauen, maye forgeue you youre trespasses.
Mark.11.26	n/a
Mark.11.27	And they came agayne to Ierusalem. And as he walked in the temple, ther came to him the hye Prestes, Ꟶ the Scrybes, Ꟶ the elders,
Mark.11.28	and saye vnto hym: by what auctorite doest thou these thynges? and who gaue the thys auctorite, to do these thynges?
Mark.11.29	Iesus answered, and sayd vnto them: I wyll also aske of of you a certayne thynge Ꟶ answere ye me, Ꟶ I will tell you by what auctorite I do these thinges.
Mark.11.30	The baptime of Iohn, whether was it from heauen or of men? Answer me.
Mark.11.31	And they thought in them selues, sayinge: yf we saye, from heauen: he wyll saye why then did ye not beleue hym?
Mark.11.32	but yf they had sayd, of men, they feared the people. For all men counted Iohn, that he was a verye Prophete.
Mark.11.33	And they answered Ꟶ sayd vnto Iesu: we cannot tell. And Iesus answered, and sayd vnto them: nether will I tell you by what auctorite I do these thinges.
Mark.12.1	And he beganne to speake vnto them by parables. A certayne man planted a vyneyarde, and compassed it aboute wt an hedge, and ordeined a wyne presse, and bylt a toure, and let it out to hyre vnto husbandmen, and went into a straunge countre.
Mark.12.2	And when the tyme was come, he sent to the husbandmen a seruaunt, that he myght receaue of the husbandmen of the frute of the vyneyarde.
Mark.12.3	And they caught hym, and bet hym, and sent hym awaye agayne emptye.
Mark.12.4	And moreouer, he sent vnto them another seruaunt, and at hym they cast stones and brake hys heed, Ꟶ sent him awaye agayne all to reuyled.
Mark.12.5	And agayne, he sent another, and him they kylled: and many other, beatynge some, and kyllinge some.
Mark.12.6	And so whan he had yet but one beloued sonne, he sent him also at the last vnto them, sayinge: they wyll feare my sonne.
Mark.12.7	But the husbandmen sayd amongest them selues: this is the heyre: come let vs kyl him, Ꟶ the inheritaunce shalbe oures.
Mark.12.8	And they toke him Ꟶ kylled him, Ꟶ cast hym out of the vyneyard.
Mark.12.9	What shall therfore the Lorde of the vyneyarde do? He shall come, ad destroye the husbandmen, Ꟶ let out the vyneyarde vnto other.
Mark.12.10	Haue ye not red this scrypture? The stone whych the buylders dyd refuse, is become the chefe stoone of the corner?
Mark.12.11	this is the Lordes doynge, Ꟶ it is meruelous in oure eyes.
Mark.12.12	They went about also to take him, Ꟶ feared the people. For they knewe, that he had spoken the parable agaynst them. And they left hym and went theyr waye:
Mark.12.13	And they sent vnto hym certayne of the Pharises Ꟶ Herodes seruauntes, to take him in his wordes.
Mark.12.14	And assone as they were come, they sayd vnto him: Master, we knowe that thou arte true, Ꟶ carest for no man: for thou consyderest not the outward appearaunce of men, but teachest the waye of God truly: Is it laufull to paye tribute to Cesar, or not?
Mark.12.15	Ought we to geue, or ought we not to geue? But he vnderstode theyr symulacyon, and sayd vnto them: Why tempte ye me? Bringe me a peny, that I maye se it.
Mark.12.16	And they brought it. And he sayeth vnto them: Whose is thys ymage Ꟶ superscripcyon? And they sayde vnto hym: Cesars.
Mark.12.17	And Iesus answered, and sayde vnto them: Geue to Cesar the thinges that belonge to Cesar: and to God, the thynges whych perteyne to God. And they meruelled at hym.
Mark.12.18	There came also vnto hym the Saduces, whych saye that ther is no resurreccyon. And they asked hym sayinge:
Mark.12.19	Master Moses wrote vnto vs, yf eny mans brother dye, and leaue hys wyfe behynde hym, and leaue no chyldren: that hys brother shuld take hys wyfe, and reyse vp seed vnto hys brother.
Mark.12.20	There were seuen brethren, and the fyrst toke a wyfe: and when he dyed, left no seed behynde hym.
Mark.12.21	And the seconde toke hyr, and dyed: nether left he any seed. And the thyrde lykewyse.
Mark.12.22	And seuen had her, and left no seed behynde them. Last of all the wyfe dyed also.
Mark.12.23	In the resurreccyon therfore when they shall ryse agayne: whose wyfe shall she be of them? For seuen had her to wyfe.
Mark.12.24	And Iesus answered, and sayd vnto them: Do ye not therfore erre, because ye vnderstande not the scriptures, nether the power of God?
Mark.12.25	For when they shall ryse agayne from deeth, they nether mary, nor are maryed: but are as the angels, whych are in heauen.
Mark.12.26	As touching the deed, that they ryse agayne: haue ye not redde in the boke of Moses, how in the bushe, God spake vnto hym, sayinge: I am the God of Abraham and the God of Isaac, and the God of Iacob?
Mark.12.27	He is no God of deed, but the God of lyuynge. Ye are therfore greatly deceaued.
Mark.12.28	And whan ther came one of the Scrybes, and had hearde them disputynge to gether (and perceaued that he had answered them well) he asked hym: whych is the fyrst of all the commaundementes?
Mark.12.29	Iesus answered him, the fyrste of all the commaundementes is: Heare O Israell: The Lorde oure God, is Lord onely:
Mark.12.30	And thou shalt loue the Lorde thy God with all thy hert, Ꟶ wyth all thy soule, and wyth all thy mynde, and with all thy strength. This is the fyrste commaundment.
Mark.12.31	And the seconde is lyke vnto thys: Thou shalt loue thy neyghbour as thy selfe. Ther is none other commaundment greater then these.
Mark.12.32	And the Scrybe sayde vnto him: well master, thou hast sayd the truthe, for ther is one God, Ꟶ ther is none but he.
Mark.12.33	And to loue hym wyth all the herte, and wyth all the mynde, Ꟶ wyth all the soule, Ꟶ wyth all the strength: and to loue a mans neyghbour as hym selfe, is a greater thynge, then all burt offerynges and sacrifyces.
Mark.12.34	And when Iesus sawe that he answered discretly, he sayde vnto hym: Thou art not farre from the kyngdome of God. And no man after that, durst aske hym any questyon.
Mark.12.35	And Iesus answered Ꟶ sayde, teachinge in the temple: how saye the Scrybes that Chryst is the sonne of Dauid?
Mark.12.36	for Dauid him selfe inspired wt the holy goost, sayd: The Lorde sayde to my Lorde, syt on my ryght hande tyll I make thyne enemyes thy fote stole.
Mark.12.37	Dauid him selfe calleth him Lord: Ꟶ how is he then hys sonne? And moche people hearde him gladly:
Mark.12.38	And he sayde vnto them in his doctrine: beware of the Scribes, which loue to go in longe clothynge: Ꟶ loue salutacions in the market places,
Mark.12.39	and the chefe seates in the congregacyons, and the vppermost roumes at feastes:
Mark.12.40	whych deuoure wydowes houses, and vnder a pretence, make longe prayers. These shall receaue greater dampnacyon.
Mark.12.41	And whan Iesus sat ouer agaynst the treasury, he behelde, how the people put money into the treasury. And many that were ryche, cast in moch.
Mark.12.42	And ther cam a certayne poore wydowe, and she threwe in two mytes, whych make a farthynge.
Mark.12.43	And he called vnto him hys discyples Ꟶ sayeth vnto them. Uerely I saye vnto you, that thys poore wydowe hath cast moare in, then all they which haue cast into the treasury.
Mark.12.44	For they all dyd cast in of their superfluyte: but she of her pouerte, dyd cast in all that she had, euen all her lyuynge.
Mark.13.1	And as he went of the temple, one of his discyples sayde vnto hym: Master, se what stones, and what byldynges are here.
Mark.13.2	And Iesus answered and sayde vnto hym: Seest thou these greate buyldynges? There shall not be lefte one stone vpon another, that shall not be throwen downe.
Mark.13.3	And as he sate on mounte Olyuete, ouer agaynst the temple, Peter, and Iames, and Iohn, and Andrew, asked hym secretly:
Mark.13.4	tell vs, when shal these thynges be? And what is the sygne when all these thynges shalbe fulfylled?
Mark.13.5	And Iesus answered them, and began to saye: take hede, lest any man deceaue you.
Mark.13.6	For many shall come in my name sayinge: I am Chryst, and shall deceaue many.
Mark.13.7	When ye shall heare of warres, and tydinges of warres, be ye not troubled. For soch thynges must nedes be? But the ende is not yet.
Mark.13.8	For ther shall nacyon aryse agaynste nacyon, and kyngdome agaynste kyngdome. And ther shalbe erth quakes in all quarters, and famyshment shall ther be, and troubles. These are the begynnynge of sorowes.
Mark.13.9	But take ye hede to youre selues. For they shall brynge you vp to the counsels, and into the synagoges, and ye shalbe beaten: yee, and shalbe brought before rulers and kinges for my sake, for a testimoniall vnto them.
Mark.13.10	And the Gospell must fyrste be publyshed amonge all nacyons.
Mark.13.11	But when they leade you and present you, take ye no thought, nether ymagin aforehande what ye shall saye: but what soeuer is geuen you in the same houre, that speake. For it is not ye that speake, but the holy ghost.
Mark.13.12	The brother shall delyuer vp the brother to deeth, and the father the sonne: and the chyldren shall ryse agaynste theyr fathers Ꟶ mothers, and shall put them to deeth.
Mark.13.13	And ye shall be hated of all men for my names sake. But whoso endureth vnto the ende, the same shalbe safe.
Mark.13.14	Moreouer, when ye se the abhominacion of desolacion (wherof is spoken by Daniel the prophet) stand where it ought not: let hym that readeth vnderstand. Then lett them that be in Iurye, flye to the mountaynes.
Mark.13.15	And let hym that is on the house toppe, not go downe into the house, nether entre therin, to fetch eny thing out of his house.
Mark.13.16	And let him that is in the felde, not tourne backe agayne vnto the thinges which he left behynde him, for to take his clothes with him.
Mark.13.17	Wo shall be then to them that are with chylde, and to them that geue sucke in those dayes.
Mark.13.18	But praye ye that youre flyght be not in the winter.
Mark.13.19	For ther shalbe in those dayes suche tribulacion, as was not from the begynnyng of creatures (which God created) vnto this tyme, nether shalbe.
Mark.13.20	And excepte that the Lord shuld shorten those dayes no flesshe shulde be saued. But for the electes sake, whom he hath chosen, he hath shortened those dayes.
Mark.13.21	And then, yf eny man saye to you, lo here is Christ: lo, he is there, beleue not.
Mark.13.22	For false Christes Ꟶ false prophetes shall ryse, Ꟶ shall shewe myracles Ꟶ wondres, to deceaue yf it were possible, euen the electe.
Mark.13.23	But take ye hede: behold, I haue shewed you all thinges before.
Mark.13.24	Moreouer, in those dayes, after that tribulacion, the sonne shall wexe darke, and the mone shal not geue her light,
Mark.13.25	Ꟶ the starres of heauen shall fall: Ꟶ the powers whych are in heauen, shall moue:
Mark.13.26	And then shall they se the sonne of man commynge in the cloudes, wt greate power Ꟶ glory.
Mark.13.27	And then shall he sende hys angels, Ꟶ shall gather together his electe from the fowre wyndes, from the ende of the erthe, to the vttemost parte of heauen.
Mark.13.28	Learne a symilitude of the fygge tree. When his braunche is yet tender, and hath brought forth leaues, ye knowe, that sommer is neare.
Mark.13.29	So ye in lyke maner: when ye se these thynges come to passe: vnderstand, that he is nye euen at the dores.
Mark.13.30	Uerely I saye vnto you, that thys generacion shall not passe, tyll these thinges de done.
Mark.13.31	Heauen and erth shall passe, but my wordes shall not passe;
Mark.13.32	But of that daye Ꟶ tyme knoweth no man: no not the Angels which are in heauen: nether the sonne him selfe: saue the father only.
Mark.13.33	Take hede, watche Ꟶ praye, for ye knowe not when the tyme is
Mark.13.34	As a man which is gone into a straunge contrey, and hath lefte his house, and geuen his substaunce to his seruauntes, and to euery man his worke, and commaunded the porter to watche.
Mark.13.35	Watche ye therfore, for ye knowe not when the master of the house will come, at euen, or at mydnyght, whether at the cocke crowyng, or in the dawnynge:
Mark.13.36	lest yf he come sodenly, he finde you slepynge.
Mark.13.37	And that I saye vnto you, I saye vnto all watche.
Mark.14.1	After two dayes was Easter, and the dayes of swete breed And the hye Prestes and the Scribes sought, how they myghte take hym by crafte, Ꟶ put him to deeth.
Mark.14.2	But they sayde: not in the feast daye, leest any busynes aryse amonge the people.
Mark.14.3	And whan he was at Bethania, in the house of Simon the leper, euen as he sate at meate, ther cam a woman hauyng an alabaster boxe of oyntment, called Narde, that was pure and costly: Ꟶ she brake the boxe, Ꟶ powred it on his heed.
Mark.14.4	And ther were some, that were not content wyth in them selues, Ꟶ sayde: what neded this waste of oyntment?
Mark.14.5	For it myght haue bene solde for more then thre hundred pens, Ꟶ haue bene geuen vnto the poore. And they grudged agaynst her.
Mark.14.6	And Iesus sayde: left her alone, why trouble ye her? She hath done a good worke on me.
Mark.14.7	For ye haue poore wt you all wayes Ꟶ when soeuer ye wyll, ye maye do them good: but me haue ye not alwayes.
Mark.14.8	She hath done that she coulde: she came a fore hande, to anoynt my body to the buryinge.
Mark.14.9	Uerely I saye vnto you: wheresoeuer this Gospell shalbe preached thorow out the whole worlde: this also that she hath done, shalbe rehearsed in remembraunce of her.
Mark.14.10	And Iudas Iscarioth, one of the twelue went awaye vnto the hye Prestes, to betraye him vnto them.
Mark.14.11	When they herde that, they were glad, and promysed that they wolde geue hym money. And he sought, how he myght conueniently betraye him.
Mark.14.12	And the fyrste daye of swete breed (when they offred Passeouer) his disciples sayd vnto him: where wylt thou that we go Ꟶ prepare, that thou mayest eate the Passeouer?
Mark.14.13	And he sendeth forth two of his disciples, Ꟶ sayeth vnto them: Go ye into the cytie, Ꟶ ther shall mete you a man bearing a pitcher of water, folowe him.
Mark.14.14	And whither soeuer he goeth in, saye ye to the good man of the house, the master sayeth: where is the geest chambre, where I shall eate passeouer wyth my disciples?
Mark.14.15	And he wyll shewe you a greate parlour, paued and prepared: there make ready for vs.
Mark.14.16	And hys disciples went forth, and came into the cytie, and founde as he had sayde vnto them: and they made ready the Passeouer.
Mark.14.17	And whan it was now euen tyde he came with the .xij.
Mark.14.18	And as they sate at borde Ꟶ dyd eate Iesus sayde: Uerely I saye vnto you: one of you (that eateth with me) shall betraye me.
Mark.14.19	And they beganne to be sorie, Ꟶ to saye to him one by one: is it I? And another sayde: is it I?
Mark.14.20	He answered Ꟶ sayd vnto them: It is one of the .xij. euen he that dyppeth wyth me in the platter.
Mark.14.21	The sonne of man trulye goeth as it is wrytten of him: but wo to that man by whom the sonne of man is betrayed. Good were it for that man, yf he had neuer bene borne.
Mark.14.22	And as they dyd eate, Iesus toke breed: and whan he had geuen thankes he brake it, and gaue to them, and sayde: Take, eate, this is my body.
Mark.14.23	And he toke the cup, Ꟶ when he had geuen thankes he toke it to them, Ꟶ they all dranke of it.
Mark.14.24	and he sayde vnto them: This is my bloude of the newe Testament, whych is shedd for many.
Mark.14.25	Uerely I saye vnto you: I wyll dryncke nomore of the frute of the vyne: vntyll that daye, that I drincke it newe in the kyngdome of God.
Mark.14.26	And when they had sayde grace: they went out to mount Oliuete.
Mark.14.27	And Iesus sayeth vnto them: All ye shalbe offended because of me this nyght. For it is written: I wyll smyte the shepherd, Ꟶ the shepe shalbe scattered:
Mark.14.28	But after that I am rysen agayne, I wyll go into Galile before you.
Mark.14.29	Peter sayde vnto him: And though all men be offended, yet wyll not I.
Mark.14.30	And Iesus sayeth vnto him: Uerely I saye vnto the, that this daye, euen, in this nyght before the cocke crowe twyse, thou shalt denye me thre tymes.
Mark.14.31	But he spake more vehemently: no, yf I shulde dye with the, I wyll not denye the. Lyke wyse also sayde they all.
Mark.14.32	And they came into a place which was named Gethsemani. And he sayeth to his disciples: Syt ye here, whyle I go asyde, and praye.
Mark.14.33	And he taketh wyth him Peter Ꟶ Iames Ꟶ Iohn, Ꟶ began to waxe abasshed, Ꟶ to be in an agonye,
Mark.14.34	Ꟶ sayeth vnto them: My soule is heuy, euen vnto the deeth, tary ye here and watche.
Mark.14.35	And he went forth a lytle Ꟶ fell downe flatt on the grounde, Ꟶ prayed: that yf it were possible, the houre myght passe from him.
Mark.14.36	And he sayde: Abba father, all thinges are possible vnto the, take awaye this cup from me. Neuerthelesse, not that I will: but that thou wilt, be done.
Mark.14.37	And he cam Ꟶ founde them slepyng, Ꟶ sayeth to Peter: Simon, slepest thou? Couldest not thou watche one houre?
Mark.14.38	watche ye, Ꟶ praye, leest ye entre into temptacion, the sprete trulye is ready, but the flesh is weake.
Mark.14.39	And agayne he went asyde, Ꟶ prayde, and spake the same wordes.
Mark.14.40	And he returned, Ꟶ founde them a slepe agayne. For their eyes were heuy: nether wist they, what to answere him.
Mark.14.41	And he came the thirde tyme Ꟶ sayde vnto them: slepe hens forth, and take youre ease, it is ynough. The houre is come, beholde, the sonne of man is betrayed into the handes of synners.
Mark.14.42	Ryse vp, let vs go. Lo, he that betrayeth me, is at hande.
Mark.14.43	And immediatly whill he yet spake, commeth Iudas (which was one of the twelue) Ꟶ with him a greate nomber of people wyth sweardes and staues from the hye Prestes and Scrybes Ꟶ elders.
Mark.14.44	And he that betrayed him, had geuen them a generall token, saying: whosoeuer I do kysse, that same is he: take him Ꟶ leade him awaye warely.
Mark.14.45	And as sone as he was come, he goeth streight waye to him, Ꟶ sayeth vnto him: Master, Master, Ꟶ kyssed him:
Mark.14.46	And they layde their handes on him, and toke him.
Mark.14.47	And one of them that stode by, drue out a swearde, and smote a seruaunt of the hye Preste, Ꟶ cut of his eare.
Mark.14.48	And Iesus answered Ꟶ sayd vnto them: ye be come out as vnto a thefe wt sweardes Ꟶ wt staues, for to take me.
Mark.14.49	I was daylye wt you in the temple, teachinge, Ꟶ ye toke me not: but these thinges come to passe, that the scriptures shuld be fulfylled.
Mark.14.50	And they all forsoke him, Ꟶ ranne awaye.
Mark.14.51	And there folowed him a certayne younge man, clothed in lynnen vpon the bare, Ꟶ the yongmen caught him,
Mark.14.52	Ꟶ he lefte his lynnen garment, Ꟶ fled from them naked.
Mark.14.53	And they ledd Iesus awaye to the hyest Preste of all Ꟶ with him come all the hye Prestes, Ꟶ the elders, Ꟶ the Scribes.
Mark.14.54	And Peter folowed him a greate waye of (euen tyll he was come into the palace of the hye preste) and he sat with the seruauntes, and warmed him selfe at the fyre.
Mark.14.55	And the hye Prestes Ꟶ all the counsell sought for witnes agaynst Iesu, to put hym to death, Ꟶ founde none:
Mark.14.56	for many bare false witnes agaynste hym, but their wytnesses agreed not together.
Mark.14.57	And ther arose certayne, and brought falsse witnes agaynst hym, sayinge.
Mark.14.58	We herde him saye: I will destroye this temple that is made wyth handes, and wyth in thre dayes I wyll buylde another, made without handes.
Mark.14.59	But yet their wytnesses agreed not together.
Mark.14.60	And the hye Preste stode vp amongest them, and asked Iesus, sayinge: answerest thou nothinge? How is it that these beare witnes agaynst the?
Mark.14.61	But he helde his peace, Ꟶ answered nothing. Agayne the hyeste Preste asked him, Ꟶ sayde vnto him. Art thou Christ the sonne of the blessed?
Mark.14.62	And Iesus sayd: I am. And ye shall se the sonne of man sytting on the ryght hand of power, Ꟶ commyng in the cloudes of heauen.
Mark.14.63	Then the hye preste rent his clothes, Ꟶ sayd: what nede we eny further of wytnesses?
Mark.14.64	Ye haue heard blasphemy, what thincke ye? and they all condemned hym to be worthy of deeth.
Mark.14.65	And some beganne to spit at him, Ꟶ to couer his face, Ꟶ to beate him with fistes, and to saye vnto him, Areade: And the seruauntes boffeted him on the face.
Mark.14.66	And as Peter was beneth in the palace ther cam one of the wenches of the hyest preste:
Mark.14.67	Ꟶ when she sawe Peter warminge hym self, she loketh on hym, Ꟶ sayeth: wast not thou also wt Iesus of Nazareth?
Mark.14.68	And he denyed, saying: I knowe hym not, nether wote I what thou sayest. And he went out into the porche, and the cocke crewe.
Mark.14.69	And a damsell (whan she sawe him) beganne agayne to saye to them that stode by, this is one of them.
Mark.14.70	And he denyed it agayne. And an one after, they that stode by, sayde agayne to Peter: suerly thou art one of them, for thou art of Galyle, Ꟶ thy speache agreth therto.
Mark.14.71	But he beganne to cursse, Ꟶ to sweare, sayinge: I knowe not thys man of whom ye speake.
Mark.14.72	And agayne the cocke krewe, Ꟶ Peter remembred the worde that Iesus sayde vnto him: before the cocke crowe twyse, thou shalt denye me thre tymes. And he beganne to wepe.
Mark.15.1	And anone in the dawninge the hye Prestes helde a counsell wt the elders Ꟶ the Scrybes, Ꟶ the whole congregacion, Ꟶ bounde Iesus, Ꟶ ledde him awaye, Ꟶ deliuered him to Pilate.
Mark.15.2	And Pilate asked him: art thou the kynge of the Iewes? And he answered, Ꟶ sayd vnto hym: thou sayest it.
Mark.15.3	And the hye prestes accused him of many thinges.
Mark.15.4	So Pilate asked him agayne, sayinge: Answerest thou nothing? Beholde, how many thinges they lay vnto thy charge.
Mark.15.5	Iesus yet answered nothing, so that Pilate merueyled.
Mark.15.6	At that feast Pilate dyd delyuer vnto them a presoner: whomsoeuer they wolde desyre.
Mark.15.7	And ther was one that was named Barrabas, whych laye bounde with them that made insurreccyon: he had commytted murther.
Mark.15.8	And the people called vnto him, and began to desyre him, that he wolde do, accordynge as he had euer done vnto them.
Mark.15.9	Pylate answered them sayenge: Will ye that I let lowse vnto you the kyng of the Iewes?
Mark.15.10	For he knewe, that the hye Prestes had delyuered him of enuy.
Mark.15.11	But the hye prestes moued the people, that he shulde rather delyuer Barrabas vnto them.
Mark.15.12	Pylate answered agayne, and sayde vnto them: What wyll ye then that I do vnto him, whom ye call the kyng of the Iewes?
Mark.15.13	And they cryed agayne: crucifye him:
Mark.15.14	Pylate sayd vnto them, What euyll hath he done: And they cryed the moare feruentlye: Crucifye hym:
Mark.15.15	And so Pylate wyllinge to content the people, let lose Barrabas vnto them Ꟶ delyuered vp Iesus (when he had scourged hym) for to be crucifyed.
Mark.15.16	And the soudyers leed him awaye into the commen hall, and called together the whole multitude,
Mark.15.17	Ꟶ they clothed him with purple, Ꟶ they platted a croune of thornes, Ꟶ crouned him withall,
Mark.15.18	Ꟶ beganne to salute him: Hayle kynge of the Iewes.
Mark.15.19	And they smote hym, on the heed wt a rede and dyd spitt vpon hym Ꟶ bowed their knees, Ꟶ worshyped him.
Mark.15.20	And when they had mocked him, they toke the purple of hym, Ꟶ put his awne clothes on him, Ꟶ ledde hym out, to crucifye him.
Mark.15.21	And they compelled one that passed by, called Simon of Cyrene (the father of Alexander and Rufus) which came out of the felde, to beare his crosse.
Mark.15.22	And they brought him to a place named Golgotha (whych is yf a man interprete it: the place of deed mens sculles)
Mark.15.23	and they gaue him to drinke, wyne mingled wyth myrre, but he receaued it not.
Mark.15.24	And when they had crucifyed him they parted hys garmentes, castinge lotes vpon them, what euery man shulde take.
Mark.15.25	And it was aboute the third houre, Ꟶ they crucifyed him.
Mark.15.26	And the tytle of his cause was wrytten: The kynge of the Iewes.
Mark.15.27	And they crucified with him two theues. the one on the right hande, Ꟶ the other on his lyfte.
Mark.15.28	And the scrypture was fulfylled which sayeth: he was counted amonge the wycked.
Mark.15.29	And they that went by, rayled on hym: wagging their heedes, and saying: A wretche thou that destroyest the temple, and byldest it in thre dayes:
Mark.15.30	saue thy selfe, Ꟶ come doune from the crosse.
Mark.15.31	Lykewyse also mocked hym the hye Prestes amonge them selues with the Scrybes Ꟶ sayde, he saued other men, hym selfe he cannot saue.
Mark.15.32	Let Christ the kynge of Israell descende now from the crosse, that we maye se, Ꟶ beleue. And they that were crucifyed with him checked him also.
Mark.15.33	And when the syxte houre was come, darcknes arose ouer all the erth, vntyll the nynth houre.
Mark.15.34	And at the nynth houre Iesus cryed with a loude voyce, saying: Eloi, Eloi, lama sabachthani? whych is (yf one interpret it) my God, my God why hast thou forsaken me?
Mark.15.35	And some of them that stode by, when they hearde that, sayd: beholde, he calleth for Helias.
Mark.15.36	And one ran, and fylled a sponge full of veneger, and put it on a rede, Ꟶ gaue him to drincke, sayinge: let him alone, let vs se, whether Helias wyll come and take hym downe:
Mark.15.37	But Iesus cryed with a loude voyce, and gaue vp the goost.
Mark.15.38	And the vayle of the temple dyd rent in two peces, from the toppe to the bottome.
Mark.15.39	And when the Centurion (which stode before him) sawe, that he so cryed, and gaue vp the goost, he sayde: truly this man, was the sonne of God.
Mark.15.40	Ther were also wemen a good waye of, beholdinge him: amonge whom was Mary Magdalen, and Mary the mother of Iames the lytle: Ꟶ of Ioses, Ꟶ Mary Salome
Mark.15.41	(which also when he was in Galile had folowed him Ꟶ mynistred vnto him) and many other wemen, whych came vp with him vnto Ierusalem.
Mark.15.42	And now when the euen was come (because it was the daye of preparing that goeth before the Sabboth)
Mark.15.43	Ioseph of the cite of Aramathia, a noble Councellour which also loked for the kyngdome of God, came, Ꟶ went in boldely vnto Pilate, Ꟶ begged of hym the body of Iesu.
Mark.15.44	And Pilate merueled, that he was alredy deed, and called vnto him the Centurion, and asked of him, whether he had bene eny whyle deed.
Mark.15.45	And when he knewe the trueth of the Centurion, he gaue the body to Ioseph.
Mark.15.46	And he bought a lynnen clothe, and toke him downe, and wrapped him in the lynnen clothe, and layde him in a sepulcre, that was hewen out of the rocke.
Mark.15.47	And Mary Magdalen and Mary Ioses behelde where he was layde.
Mark.16.1	And when the Saboth was past, Mary Magdalen, Ꟶ Mary Iacob, Ꟶ Salome, bought swete odoures, that they myght come, Ꟶ anoynt him?
Mark.16.2	And early in the mornyng the fyrst daye of the Sabboth they came vnto the sepulcre, when the Sonne was rysen.
Mark.16.3	And they sayd among them selues: who shall rolle vs awaye the stone from the dore of the sepulchre?
Mark.16.4	And when they loked, they sawe how that the stone was rolled awaye, for it was a very greate one.
Mark.16.5	And they went into the sepulcre, and sawe a younge man syttyng on the ryghtsyde, clothed in a longe white garment, Ꟶ they were afrayed.
Mark.16.6	And he sayeth vnto them, be not afrayed: ye seke Iesus of Nazareth, whych was crucifyed. He is rysen, he is not here. Beholde the place where they had put him.
Mark.16.7	But goo youre waye, and tell his disciples, Ꟶ Peter, that he goeth before you into Galile: there shall ye se him, as he sayd vnto you.
Mark.16.8	And they went oute quyckly, and fledd from the sepulcre. For they trembled Ꟶ were amased. Nether sayde they eny thynge to eny man, for they were afrayed.
Mark.16.9	When Iesus was rysen early the fyrst daye after the Sabboth he appeared fyrst to Mary Magdalen, out of whom he had cast seuen deuyls.
Mark.16.10	And she went, and tolde them that were with him, as they mourned Ꟶ weapte.
Mark.16.11	And they, whan they herde that he was a lyue, and had appered vnto her, beleued it not.
Mark.16.12	After that, appeared he vnto two of them in a straunge fygure, as they walked, Ꟶ went in to the country.
Mark.16.13	And they went Ꟶ tolde it to the remnaunt. And they beleued not these also.
Mark.16.14	Afterwarde he appeared vnto the eleuen as they sate at meate: and cast in their teth their vnbelefe, and hardnes of herte: because they beleued not them whych had sene that he was rysen agayne from the deed.
Mark.16.15	And he sayde vnto them: Goo ye into al the worlde, and preache the gospell to all creatures,
Mark.16.16	he that beleueth Ꟶ is baptised, shalbe saued. But he that beleueth not, shalbe dampned.
Mark.16.17	And these tokens shall folowe them that beleue. In my name they shall cast out deuyls, they shall speake with newe tonges,
Mark.16.18	they shall dryue awaye serpentes. And yf they drynke any deadly thynge, it shall not hurte them. They shall laye their handes on the sycke, Ꟶ they shall recouer.
Mark.16.19	So then, when the Lorde had spoken vnto them he was receaued into heauen, and is on the right hand of God.
Mark.16.20	And they went forth, and preached euery where: the Lorde workyng with them and confyrmyng the worde with myracles folowing.
Mark.0.0	¶ The ende of the Gospell of S. Marcke.
